OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,19370,974,5,2877.48,0
2,49722,403,3,1355.69,0
3,36676,882,9,2249.53,15
4,6008,421,6,1748.31,10
5,28234,54,6,453.59,0
6,46424,252,8,2327.41,5
7,3896,680,5,172.68,0
8,23184,3,10,1272.54,5
9,19208,929,3,1148.73,0
10,9835,385,9,2191.3,15
11,21139,253,5,1586.1,10
12,48314,532,8,2580.41,0
13,34350,373,4,1691.52,0
14,5248,380,3,703.81,0
15,36311,78,7,2085.52,20
16,3184,305,2,2493.6,10
17,34443,274,9,2321.43,0
18,32840,837,3,2227.09,0
19,49141,414,2,2538.47,5
20,49807,422,1,2577.65,20
21,20930,961,4,2133.37,20
22,46372,197,6,2116.66,0
23,33751,667,3,1213.92,0
24,46376,658,2,2540.48,0
25,18658,383,3,1185.95,10
26,26004,342,5,1253.86,0
27,20063,817,3,2037.46,0
28,21929,412,8,1768.21,0
29,27162,707,3,521.53,0
30,44774,432,6,876.51,0
31,17800,435,8,2506.87,15
32,13480,902,9,1247.91,20
33,44871,558,6,1989.3,15
34,27234,559,7,2280.82,5
35,39309,737,2,2942.22,0
36,36348,396,4,2125.47,0
37,26769,726,3,898.88,0
38,2557,813,1,358.37,0
39,11535,918,4,2900.1,0
40,7450,684,3,2179.43,20
41,3040,415,3,2675.18,5
42,20150,578,6,2522.15,5
43,34582,167,1,1541.97,0
44,29851,793,10,1963.73,20
45,6096,93,4,896.29,0
46,11878,435,4,2506.87,0
47,13529,966,7,2370.37,0
48,3904,514,3,221.31,10
49,48349,428,1,1501.07,0
50,16990,641,10,31.71,5
51,48164,131,3,2165.87,0
52,29863,887,8,730.3,5
53,10316,762,7,550.71,0
54,18955,556,3,1429.93,20
55,31605,498,7,395.15,0
56,47766,820,1,1106.74,0
57,41473,637,7,885.97,15
58,37317,836,6,2063.88,15
59,40291,377,8,130.27,0
60,19066,407,4,2035.44,10
61,17360,691,9,2513.07,0
62,679,639,8,829.44,0
63,29284,979,9,1284.41,0
64,27145,210,2,1036.9,5
65,36072,622,8,318.26,10
66,14420,708,6,2180.04,5
67,13069,590,3,2971.3,0
68,9139,599,2,149.46,15
69,14489,991,9,2222.42,5
70,43632,999,5,2854.19,0
71,6642,743,7,1403.64,0
