PaymentID,OrderID,PaymentMethod,PaymentDate,Amount
1,7144,Bank Transfer,2026-03-30,1912.52
2,38187,PayPal,2025-05-12,2520.21
3,10641,Credit Card,2025-08-05,609.92
4,44897,Bank Transfer,2024-11-06,4654.04
5,45202,Bank Transfer,2024-07-24,200.19
6,15114,Cash,2024-06-07,44.8
7,26717,Cash,2026-04-15,3849.76
8,27343,Credit Card,2024-03-09,1631.14
9,20619,Cash,2024-12-06,3859.07
10,27807,Debit Card,2025-10-28,1484.31
11,35348,PayPal,2024-09-24,1837.06
12,6401,Cash,2024-04-24,4089.45
13,40755,Bank Transfer,2026-01-22,2769.82
14,2807,Cash,2024-01-01,1784.9
15,47729,Bank Transfer,2026-03-13,3686.78
16,12135,Cash,2025-08-09,1274.0
17,16704,Bank Transfer,2026-06-30,4311.38
18,36432,Cash,2024-05-27,1088.08
19,5802,Bank Transfer,2024-01-14,844.84
20,37896,PayPal,2024-02-06,131.3
21,33262,Bank Transfer,2025-03-06,3057.88
22,38184,Debit Card,2025-11-02,1829.03
23,3370,Bank Transfer,2026-06-20,518.25
24,8149,Cash,2024-06-17,982.46
25,2605,Debit Card,2025-01-08,1756.85
26,13810,PayPal,2026-02-22,1630.82
27,20185,PayPal,2026-08-22,123.15
28,31938,Cash,2025-01-28,4893.5
29,48409,Cash,2026-03-15,3070.39
30,37096,Credit Card,2024-12-24,3453.1
31,48585,Credit Card,2026-05-04,496.85
32,32979,Debit Card,2025-11-10,4464.56
33,40215,PayPal,2025-10-03,851.07
34,1477,Debit Card,2026-08-08,3252.5
35,49819,Debit Card,2024-10-25,4752.86
36,27791,Debit Card,2024-12-29,2096.55
37,47891,Bank Transfer,2024-07-24,2287.79
38,315,Debit Card,2025-08-15,693.4
39,17656,Bank Transfer,2026-03-21,1303.01
40,14334,Debit Card,2024-03-10,331.09
41,47593,Credit Card,2026-02-12,2690.28
42,26839,Bank Transfer,2024-07-03,3195.69
43,32272,PayPal,2024-06-12,4844.64
44,39110,Cash,2024-04-06,2644.67
45,10656,Debit Card,2025-05-09,2355.93
46,21029,Bank Transfer,2025-09-17,2829.3
47,23063,Cash,2025-04-10,366.67
48,31015,Credit Card,2024-08-27,4671.19
49,4279,Debit Card,2025-10-06,2243.16
50,28430,Credit Card,2024-02-04,4696.83
51,8621,Bank Transfer,2026-05-04,1022.98
52,28869,Cash,2026-07-18,3390.99
53,47869,Debit Card,2024-05-07,129.29
54,33402,Bank Transfer,2025-03-21,2987.16
55,9679,Debit Card,2025-06-05,3778.43
56,27008,Credit Card,2025-10-03,4449.49
57,32953,Cash,2025-06-11,2648.92
58,35557,Bank Transfer,2024-07-10,2422.63
59,10878,Bank Transfer,2025-12-21,960.97
60,28809,PayPal,2026-04-11,2822.86
61,28950,PayPal,2026-06-11,3148.57
62,47711,Debit Card,2024-12-12,4423.18
63,4401,Bank Transfer,2024-12-30,2287.83
64,30079,Debit Card,2024-03-23,3439.42
65,33614,PayPal,2026-02-17,1078.53
66,26595,Credit Card,2026-08-29,3266.38
67,34059,PayPal,2025-05-31,4822.9
68,43790,Cash,2025-06-11,2237.29
69,49705,Debit Card,2024-06-18,2437.51
70,7482,PayPal,2025-06-27,3026.2
71,4025,Bank Transfer,2026-03-24,2419.94
72,5447,Debit Card,2025-05-25,3247.63
73,22514,Credit Card,2026-08-29,3595.6
74,35552,Cash,2025-12-07,3489.86
75,48241,Bank Transfer,2024-10-06,2977.57
76,37606,Credit Card,2026-02-11,3300.19
77,15179,Cash,2026-07-12,1405.41
78,40338,Cash,2026-01-04,784.83
79,21404,Cash,2025-01-04,245.79
80,36384,Cash,2024-01-11,814.47
81,30727,Bank Transfer,2025-08-15,468.38
82,33291,Cash,2025-07-19,2129.51
83,37786,Bank Transfer,2024-11-01,1283.38
84,24984,PayPal,2025-03-03,1271.37
85,2761,Debit Card,2026-08-17,520.92
86,18545,Debit Card,2025-06-27,1886.2
87,37446,Cash,2024-05-16,2784.65
88,36807,Cash,2025-11-27,625.73
89,46319,Debit Card,2025-04-14,4735.62
90,48860,Credit Card,2025-06-11,3220.69
91,25084,Bank Transfer,2025-09-28,1400.98
92,23834,Credit Card,2024-05-28,346.15
93,47625,Bank Transfer,2026-05-13,2880.6
94,38884,Bank Transfer,2024-08-28,371.52
95,12398,Cash,2024-07-16,1681.1
96,33657,Bank Transfer,2026-06-20,2117.82
97,12516,Cash,2024-09-18,4337.47
98,35599,Credit Card,2026-02-10,3872.77
99,18184,Debit Card,2024-05-28,3120.75
100,21149,Credit Card,2025-02-17,2605.63
101,12341,Debit Card,2026-02-23,4467.85
102,24106,Bank Transfer,2024-06-02,3395.02
103,17321,Cash,2026-06-20,75.19
104,15184,Credit Card,2026-01-04,4722.72
105,5499,Debit Card,2026-06-21,990.92
106,39155,Bank Transfer,2024-12-15,3067.6
107,4300,Credit Card,2024-11-25,1789.04
108,46590,PayPal,2025-12-22,1474.04
109,18370,PayPal,2024-07-13,192.5
110,40774,Bank Transfer,2025-07-15,3618.35
111,39051,Cash,2026-04-14,1092.73
112,49167,Debit Card,2024-02-29,4006.93
113,29226,Cash,2024-05-16,2178.11
114,14918,Debit Card,2024-08-07,390.04
115,24839,Debit Card,2026-02-07,4211.74
116,39062,Cash,2025-05-07,2267.55
117,23094,Bank Transfer,2026-02-05,3980.09
118,20625,Credit Card,2025-02-04,1183.75
119,22319,Bank Transfer,2024-02-21,3603.38
120,23116,Credit Card,2025-02-22,203.28
121,19537,PayPal,2025-07-26,3411.67
122,23714,Credit Card,2026-04-06,1155.43
123,18689,Cash,2025-06-28,1844.88
124,43623,Debit Card,2026-06-04,2955.42
125,29787,Bank Transfer,2025-03-23,1403.95
126,42099,Bank Transfer,2025-09-20,1652.49
127,17848,Debit Card,2024-10-18,817.66
128,23122,Credit Card,2026-07-25,2070.63
129,3908,Debit Card,2024-11-06,4379.56
130,48465,Bank Transfer,2024-09-13,1066.38
131,11473,PayPal,2024-09-24,4845.22
132,10662,Cash,2024-05-04,2848.39
133,11734,PayPal,2025-07-31,4706.69
134,4895,Debit Card,2025-05-20,3270.05
135,30688,Cash,2025-05-26,4733.97
136,25025,PayPal,2025-06-01,2439.35
137,33604,Credit Card,2026-05-19,4740.29
138,26716,Credit Card,2026-01-13,2319.59
139,42915,Cash,2024-09-24,3710.56
140,43677,PayPal,2025-02-22,1343.84
141,29078,Bank Transfer,2025-03-30,3522.98
142,31301,Bank Transfer,2025-11-22,2595.37
143,17589,Credit Card,2026-07-23,1748.45
144,6986,Debit Card,2024-04-21,1855.36
145,44982,Credit Card,2026-02-23,3953.29
146,19405,Credit Card,2024-12-25,3146.18
147,8999,Bank Transfer,2026-03-13,1738.13
148,34854,Cash,2026-06-16,2764.82
149,40779,Credit Card,2024-06-21,204.66
150,14545,Debit Card,2026-04-21,2291.13
151,25903,Credit Card,2024-10-01,3081.88
152,40664,PayPal,2024-10-01,4753.88
153,4992,PayPal,2025-07-19,1886.42
154,7470,Debit Card,2024-08-04,2244.68
155,36608,Credit Card,2024-02-11,3009.58
156,21633,Cash,2026-04-20,2119.31
157,32794,Credit Card,2025-01-03,607.05
158,23933,PayPal,2025-12-22,1114.17
159,21006,Debit Card,2025-02-14,2154.66
160,7656,PayPal,2026-03-09,4093.87
161,3197,Debit Card,2025-01-04,736.64
162,34816,Debit Card,2026-01-05,2230.84
163,4461,PayPal,2024-02-21,4940.27
164,46491,Cash,2024-02-27,3201.61
165,8394,Debit Card,2026-06-25,3596.99
166,47028,Cash,2025-09-30,1241.06
167,26140,Credit Card,2024-09-08,400.17
168,41012,Cash,2026-08-25,1141.45
169,29643,Cash,2026-03-30,2808.79
170,40620,Debit Card,2024-05-21,1562.55
171,36306,Cash,2024-08-30,4715.58
172,33058,Bank Transfer,2024-08-01,588.07
173,38897,Debit Card,2024-05-28,3163.0
174,9971,PayPal,2025-10-21,3890.2
175,6705,Bank Transfer,2025-07-26,557.36
176,24854,PayPal,2026-04-22,2900.27
177,47570,Cash,2025-02-13,1164.58
178,13118,Debit Card,2024-04-01,1092.66
179,42499,PayPal,2025-02-08,2326.09
180,49630,Credit Card,2025-09-28,2333.65
181,40829,PayPal,2024-10-15,2447.43
182,28057,Bank Transfer,2024-10-27,1353.13
183,31710,Debit Card,2025-09-21,2864.14
184,43337,Credit Card,2024-03-21,2146.72
185,21062,Credit Card,2024-07-09,2914.99
186,22254,Debit Card,2024-12-31,4257.73
187,35083,Cash,2025-05-31,405.78
188,5786,Credit Card,2026-01-19,2631.01
189,3098,Cash,2024-07-13,546.54
190,38154,Bank Transfer,2024-07-16,4722.28
191,17292,Bank Transfer,2026-09-15,3997.82
192,11654,Cash,2025-10-10,1692.36
193,13235,Credit Card,2025-12-20,1972.19
194,20665,Debit Card,2025-01-04,2754.16
195,7939,Bank Transfer,2024-09-29,4638.16
196,37659,Credit Card,2026-03-23,3934.72
197,32665,Debit Card,2024-06-03,2032.54
198,32128,Credit Card,2024-11-23,3852.66
199,11733,Cash,2025-10-30,2067.93
200,29339,Debit Card,2025-09-16,4670.5
201,20173,Bank Transfer,2024-04-08,3003.09
202,18434,Cash,2025-10-15,3701.71
203,41600,Debit Card,2026-09-05,775.59
204,14073,Bank Transfer,2024-05-10,4478.43
205,25940,PayPal,2025-12-01,1418.08
206,22133,Bank Transfer,2026-02-06,2308.27
207,41957,Credit Card,2025-06-23,1834.33
208,14180,Credit Card,2025-01-28,2904.39
209,47575,Credit Card,2026-09-11,1042.32
210,9312,Bank Transfer,2026-06-10,246.35
211,42169,Debit Card,2024-01-20,1312.53
212,1203,PayPal,2024-05-20,4446.15
213,28911,Bank Transfer,2024-03-12,1797.34
214,20119,PayPal,2025-10-27,4852.74
215,30533,PayPal,2026-07-12,1543.21
216,11408,Bank Transfer,2026-03-20,2621.08
217,18786,Credit Card,2026-08-18,3484.07
218,10531,Credit Card,2025-10-20,2531.92
219,48066,Credit Card,2024-08-08,4645.78
220,8292,Cash,2025-09-16,2283.03
221,46876,Cash,2024-03-20,4216.76
222,48900,PayPal,2025-11-10,1423.24
223,13415,Bank Transfer,2025-02-16,1223.71
224,40297,Bank Transfer,2025-03-15,1859.84
225,5013,PayPal,2025-05-21,2861.19
226,45344,Debit Card,2026-02-08,43.8
227,36105,PayPal,2024-08-19,3669.96
228,33250,Cash,2026-08-16,1291.13
229,45053,PayPal,2024-08-05,1250.96
230,37145,Bank Transfer,2026-03-24,3731.05
231,5036,Bank Transfer,2024-11-06,2128.33
232,46391,Cash,2025-02-18,4752.51
233,1443,Cash,2026-03-16,2218.64
234,21257,PayPal,2025-01-02,4699.69
235,36050,Credit Card,2024-11-15,4452.13
236,24081,Debit Card,2026-04-23,3447.21
237,33347,Cash,2024-09-30,2190.72
238,17061,Bank Transfer,2024-04-08,2066.53
239,27110,Cash,2026-04-04,2524.73
240,9595,Bank Transfer,2025-03-19,3056.97
241,10297,Bank Transfer,2025-03-12,1242.69
242,12083,Bank Transfer,2026-01-06,3972.64
243,12204,Bank Transfer,2025-04-19,118.72
244,4674,Bank Transfer,2024-02-06,3477.26
245,3067,Debit Card,2024-08-22,2991.1
246,9998,Credit Card,2024-02-05,3432.25
247,10448,Cash,2026-01-02,352.18
248,21362,Cash,2024-03-03,2973.01
249,46511,Credit Card,2026-06-01,3571.52
250,13636,Credit Card,2024-03-24,3770.87
251,2423,Debit Card,2025-12-05,4412.89
252,17626,Cash,2024-12-05,3673.5
253,5259,Bank Transfer,2025-12-27,4099.99
254,7370,Bank Transfer,2026-02-12,4894.5
255,46231,Credit Card,2024-04-12,3863.0
256,37307,Debit Card,2024-08-26,1380.99
257,48527,Bank Transfer,2025-03-24,4166.43
258,10485,Cash,2026-06-24,4875.35
259,30512,Bank Transfer,2025-07-12,4697.58
260,7739,Bank Transfer,2024-03-21,3630.42
261,27136,Debit Card,2025-09-24,1233.73
262,15209,Debit Card,2024-11-22,1881.83
263,39183,Cash,2026-08-19,1630.24
264,49734,Bank Transfer,2024-07-16,4420.25
265,9138,PayPal,2026-03-03,3913.42
