ProductID,SupplierID
1,1
1,26
2,73
2,45
2,42
3,37
3,54
3,47
4,100
4,85
5,48
5,26
5,10
6,8
6,66
7,28
7,5
8,20
9,12
9,3
9,85
10,95
11,27
11,49
12,49
12,29
12,88
13,22
13,45
13,95
14,85
14,60
15,93
16,24
16,22
16,94
17,37
18,58
18,35
18,73
19,77
20,55
21,51
21,1
21,13
22,16
22,5
22,78
23,39
24,67
24,56
24,51
25,94
25,3
25,96
26,27
26,96
27,53
28,39
28,97
29,100
29,99
30,74
30,81
30,89
31,86
32,66
32,46
33,47
33,81
33,36
34,62
35,8
35,79
36,3
36,77
36,26
37,13
37,54
38,99
38,91
39,85
39,47
39,82
40,14
40,2
40,37
41,97
41,63
42,92
43,54
43,56
44,39
44,33
44,64
45,89
46,70
47,99
47,71
48,96
49,42
49,17
49,65
50,4
50,85
50,43
51,56
51,45
52,71
53,57
54,39
54,95
54,58
55,12
55,76
56,97
56,70
56,65
57,57
58,32
58,34
59,6
59,78
60,66
60,41
61,28
61,65
61,6
62,21
62,96
63,8
63,20
64,6
65,74
65,83
65,76
66,50
66,36
66,51
67,82
67,22
67,34
68,39
69,46
70,68
70,52
71,43
71,23
71,15
72,14
73,46
73,50
73,5
74,65
75,9
75,1
76,70
76,6
76,27
77,40
77,54
78,38
78,49
78,55
79,39
80,8
80,28
80,62
81,34
81,57
82,59
82,56
83,75
83,16
83,85
84,11
84,55
84,24
85,15
86,6
86,97
87,94
88,88
88,52
88,90
89,45
89,71
90,91
90,65
91,90
91,9
91,82
92,82
92,6
92,39
93,41
94,78
94,29
94,28
95,48
96,70
97,92
97,85
98,1
98,13
99,66
100,41
100,96
101,99
102,22
103,44
103,62
103,25
104,2
104,14
104,4
105,24
106,46
106,60
107,70
108,48
109,8
109,50
109,96
110,12
110,77
110,38
111,73
111,99
111,75
112,25
113,81
113,93
114,5
114,46
115,16
115,74
116,86
117,76
117,29
117,74
118,69
118,57
119,65
120,85
120,64
121,62
122,69
123,83
124,79
124,19
125,27
125,91
125,21
126,92
126,47
126,3
127,90
127,13
128,55
128,11
128,20
129,29
129,27
129,18
130,98
131,36
132,46
132,21
132,18
133,73
134,6
134,86
135,28
136,87
136,10
137,64
137,47
138,72
138,45
138,50
139,92
140,33
140,70
141,50
142,14
142,9
143,24
143,54
143,95
144,93
145,84
146,8
147,76
147,48
148,55
149,63
149,87
150,22
151,16
152,56
152,7
152,83
153,70
154,16
155,94
155,17
155,86
156,83
156,100
156,30
157,79
157,78
157,29
158,8
159,42
160,75
160,96
161,99
161,64
161,75
162,18
162,8
162,55
163,29
164,37
165,44
165,77
165,56
166,85
166,89
166,65
167,78
167,14
167,3
168,91
168,50
168,82
169,74
170,71
170,7
171,46
171,4
172,21
172,12
173,19
174,28
175,1
175,67
176,52
177,100
177,14
178,72
178,99
178,2
179,33
179,96
180,6
180,70
181,10
181,89
181,79
182,14
182,33
183,100
184,31
184,35
184,55
185,42
185,34
185,36
186,46
186,4
186,52
187,76
188,95
188,43
188,65
189,53
190,89
191,34
191,44
192,56
192,77
193,29
193,88
193,80
194,70
194,45
194,74
195,6
195,63
195,34
196,78
197,11
197,40
198,86
199,85
199,3
199,38
200,46
200,59
200,84
201,56
201,23
202,25
202,87
203,69
203,37
203,59
204,97
204,50
205,11
205,77
205,45
206,6
207,51
208,64
208,18
209,81
209,52
209,16
210,38
210,87
211,49
211,67
211,41
212,2
212,18
212,88
213,17
213,78
214,50
214,11
215,98
216,50
216,18
217,70
217,52
217,56
218,99
219,40
220,67
220,17
220,35
221,71
221,77
222,87
222,53
222,62
223,6
223,16
223,51
224,49
224,21
225,96
225,63
226,38
226,6
226,21
227,47
228,17
228,27
229,92
230,42
231,36
232,26
233,20
233,44
234,50
234,5
234,1
235,42
235,96
235,67
236,40
236,77
236,50
237,58
238,14
239,8
239,44
240,2
241,47
241,94
241,30
242,26
242,99
243,25
244,16
244,66
244,35
245,53
245,3
246,79
246,80
247,37
248,20
248,32
248,17
249,92
249,16
249,1
250,11
250,19
250,75
251,34
251,96
252,93
253,36
254,83
254,10
254,36
255,69
256,66
256,29
257,89
257,26
258,82
258,60
258,62
259,98
259,70
259,20
260,39
260,6
260,97
261,13
262,55
263,19
263,30
263,12
264,63
265,73
265,88
265,96
266,11
266,65
266,14
267,2
267,6
267,88
268,50
268,20
268,40
269,53
270,60
270,67
271,97
271,56
271,28
272,43
272,47
272,65
273,58
273,37
274,17
274,54
275,99
276,39
276,65
276,67
277,19
277,26
277,96
278,81
278,20
279,40
279,38
280,24
280,17
280,82
281,26
281,42
282,9
283,68
283,87
284,97
284,24
284,71
285,43
286,32
287,44
287,47
288,71
289,68
289,24
289,66
290,21
290,1
291,57
291,51
292,56
292,49
293,91
293,6
294,17
294,70
294,64
295,42
295,91
296,65
296,58
296,11
297,86
297,17
297,8
298,61
298,41
298,27
299,88
300,92
301,72
301,47
302,25
302,14
302,48
303,18
303,51
303,17
304,85
305,5
305,62
305,38
306,11
306,33
306,34
307,1
308,16
308,2
308,50
309,36
310,46
310,19
311,77
311,49
311,40
312,91
312,60
313,35
313,27
314,9
315,79
315,62
315,13
316,88
317,30
317,32
318,75
318,58
319,80
320,79
320,60
321,12
322,97
323,96
324,82
325,29
325,38
326,77
326,64
327,95
327,92
328,90
328,46
328,71
329,53
329,81
329,9
330,68
330,65
330,12
331,66
331,52
332,91
333,15
334,74
334,76
335,64
336,33
336,28
336,59
337,29
337,66
338,63
339,75
339,6
340,28
341,21
342,24
343,78
344,34
344,72
345,57
346,38
347,27
347,88
348,40
349,95
349,68
349,28
350,72
350,60
351,59
351,61
352,64
352,33
352,1
353,3
353,29
354,50
354,53
355,52
355,2
356,87
357,49
357,92
358,21
359,20
359,16
359,24
360,83
360,69
360,17
361,75
362,65
363,69
363,22
364,72
364,34
365,18
365,55
366,91
366,28
367,27
367,26
367,2
368,93
368,100
369,83
369,76
370,73
370,22
371,98
371,5
371,52
372,85
372,51
373,35
374,46
374,30
374,13
375,26
376,84
376,34
377,44
378,94
378,36
378,75
379,12
379,15
379,67
380,40
380,56
380,45
381,20
382,24
382,16
383,50
384,31
384,60
384,72
385,12
385,61
385,97
386,3
386,40
386,72
387,93
387,29
387,49
388,81
388,68
389,11
390,53
390,94
390,44
391,45
391,47
391,95
392,81
392,91
392,48
393,34
393,22
393,10
394,32
394,64
394,74
395,14
396,98
397,25
397,89
398,44
398,74
399,23
399,63
400,60
400,55
401,64
401,61
401,63
402,73
402,27
403,72
403,55
404,27
405,12
405,63
406,77
406,10
407,45
407,29
407,100
408,4
408,71
408,84
409,39
409,23
409,56
410,17
410,25
411,78
412,2
412,87
412,63
413,15
413,47
414,5
415,10
416,29
417,14
417,43
417,40
418,1
418,40
418,37
419,96
420,53
421,64
421,80
422,98
423,34
424,78
424,2
424,12
425,93
426,51
426,13
426,50
427,59
427,91
428,3
428,40
428,81
429,78
429,74
429,12
430,62
430,29
431,85
431,4
431,49
432,79
432,74
433,60
433,86
434,50
435,24
435,5
436,87
436,51
436,16
437,24
438,59
439,56
440,29
440,87
441,8
442,66
442,50
443,73
443,57
443,21
444,47
444,80
445,14
445,86
446,47
446,88
446,57
447,26
447,21
447,99
448,60
448,1
449,15
450,43
450,40
450,87
451,13
451,60
451,87
452,27
452,81
453,94
454,1
454,76
455,66
455,44
456,66
456,71
457,69
457,83
457,88
458,54
458,97
458,9
459,97
460,44
460,87
460,78
461,26
461,45
462,49
462,62
462,76
463,28
463,90
464,53
465,35
465,64
466,22
467,26
467,20
468,51
468,64
469,55
469,98
469,45
470,51
470,34
470,95
471,67
471,57
472,95
472,50
472,80
473,75
473,82
474,57
474,96
475,45
476,81
476,95
477,36
478,33
478,41
479,5
479,92
479,82
480,33
481,100
482,31
482,57
483,22
483,77
484,1
484,72
484,93
485,87
485,96
486,79
486,51
486,41
487,83
488,34
488,43
488,4
489,57
490,36
490,71
491,99
492,68
492,1
493,30
493,69
494,26
495,69
495,48
495,52
496,25
496,24
496,93
497,16
497,32
497,53
498,49
498,39
498,95
499,6
499,90
499,36
500,61
501,59
502,8
503,12
503,46
504,93
505,28
505,23
506,33
506,4
506,41
507,6
508,19
508,53
508,47
509,30
509,69
509,58
510,75
510,56
510,27
511,38
512,60
512,36
513,55
513,35
513,89
514,56
514,96
515,32
516,18
517,26
517,74
518,61
518,34
518,15
519,77
519,19
520,91
521,37
521,9
521,7
522,3
523,81
524,56
524,6
525,69
525,15
526,77
526,42
526,15
527,39
527,67
528,76
528,60
529,73
529,82
530,26
530,67
531,31
532,55
533,34
534,28
534,42
535,84
