ShipmentID,OrderID,ShipperID,ShipDate,DeliveryDate
1,492,9,2024-09-12,2024-09-18
2,7899,2,2024-12-25,2025-01-01
3,3965,8,2024-12-18,2024-12-20
4,39416,7,2024-05-27,2024-06-04
5,38443,10,2026-07-16,2026-07-18
6,17469,9,2024-11-22,2024-12-01
7,28081,10,2025-03-08,2025-03-17
8,29203,2,2024-03-29,2024-04-03
9,33861,6,2024-09-18,2024-09-27
10,44858,7,2024-06-30,2024-07-03
11,30271,5,2026-03-14,2026-03-22
12,44150,6,2025-07-07,2025-07-16
13,5840,10,2026-06-02,2026-06-10
14,2558,3,2024-06-20,2024-06-22
15,8101,10,2024-06-20,2024-06-27
16,47595,5,2026-06-13,2026-06-16
17,20816,9,2024-07-09,2024-07-17
18,14232,2,2026-05-12,2026-05-21
19,14400,2,2026-07-16,2026-07-25
20,19004,8,2025-09-18,2025-09-24
21,29005,5,2025-03-24,2025-03-30
22,5368,4,2025-12-30,2026-01-07
23,10133,3,2024-07-13,2024-07-20
24,37923,8,2024-09-15,2024-09-25
25,34813,4,2024-04-14,2024-04-15
26,9602,8,2024-12-09,2024-12-16
27,21609,7,2026-01-10,2026-01-14
28,43728,8,2025-03-08,2025-03-15
29,15494,2,2025-10-29,2025-10-31
30,7088,3,2026-09-01,2026-09-07
31,5922,4,2025-11-14,2025-11-24
32,41820,2,2026-01-27,2026-01-30
33,33162,1,2024-05-28,2024-06-03
34,8280,9,2026-08-04,2026-08-13
35,9445,6,2024-08-02,2024-08-10
36,31193,9,2024-05-11,2024-05-19
37,27553,8,2024-10-03,2024-10-12
38,15553,10,2026-08-06,2026-08-11
39,33248,9,2025-08-22,2025-08-25
40,9292,4,2024-08-19,2024-08-29
41,6651,4,2024-05-12,2024-05-14
42,27136,5,2024-06-28,2024-07-06
43,23663,1,2025-06-02,2025-06-04
44,49602,6,2026-06-19,2026-06-29
45,18373,2,2024-12-25,2024-12-28
46,29214,8,2024-12-05,2024-12-13
47,32196,2,2025-07-25,2025-08-03
48,16165,7,2026-02-24,2026-03-03
49,421,7,2025-10-12,2025-10-14
50,16023,5,2024-01-19,2024-01-23
51,17835,4,2024-04-14,2024-04-22
52,28254,2,2024-12-13,2024-12-20
53,39436,5,2026-04-18,2026-04-24
54,48758,5,2024-08-23,2024-08-29
55,47417,4,2026-03-23,2026-03-27
56,49353,10,2025-06-26,2025-07-04
57,8825,4,2025-01-26,2025-02-05
58,20099,2,2025-09-25,2025-09-27
59,33083,7,2025-06-24,2025-06-30
60,3485,3,2026-03-05,2026-03-14
61,40966,6,2026-01-13,2026-01-22
62,49424,1,2024-06-06,2024-06-08
63,30955,6,2025-04-11,2025-04-15
64,1836,1,2025-11-23,2025-11-30
65,41720,2,2025-06-21,2025-06-30
66,8792,6,2026-02-14,2026-02-22
67,36711,4,2024-05-10,2024-05-14
68,39848,10,2025-07-14,2025-07-24
69,816,4,2026-01-07,2026-01-08
70,32589,6,2026-08-20,2026-08-28
71,38399,3,2025-05-07,2025-05-08
72,41428,3,2025-06-09,2025-06-10
73,43135,9,2025-04-18,2025-04-21
74,13177,8,2024-10-17,2024-10-22
75,6629,1,2026-08-07,2026-08-14
76,5710,2,2025-01-01,2025-01-09
77,12850,3,2026-02-07,2026-02-14
78,31305,3,2025-01-06,2025-01-09
79,41177,4,2026-03-27,2026-03-29
80,2125,3,2024-03-19,2024-03-24
81,45488,10,2026-02-25,2026-02-28
82,15912,6,2024-12-08,2024-12-15
83,28559,8,2026-08-21,2026-08-25
84,39323,4,2026-03-26,2026-04-02
85,10124,5,2025-05-03,2025-05-12
86,20944,2,2025-01-29,2025-02-03
87,32396,7,2026-06-07,2026-06-09
88,13718,9,2026-07-22,2026-07-27
89,2292,9,2026-07-18,2026-07-27
90,17958,2,2025-04-18,2025-04-26
91,28299,4,2024-07-10,2024-07-11
92,4675,1,2024-12-20,2024-12-30
93,15808,7,2024-06-04,2024-06-07
94,26342,9,2025-02-24,2025-03-05
95,29333,5,2025-03-09,2025-03-15
96,10573,6,2025-11-14,2025-11-21
97,43848,1,2026-09-08,2026-09-17
98,20191,9,2025-11-10,2025-11-12
99,35350,6,2026-02-16,2026-02-19
100,38578,9,2026-06-22,2026-06-29
101,40368,6,2024-01-25,2024-01-26
102,35925,6,2024-05-30,2024-06-02
103,37201,6,2024-06-03,2024-06-09
104,22264,9,2025-02-13,2025-02-21
105,11598,6,2025-03-25,2025-04-01
106,18723,5,2024-04-03,2024-04-05
107,2178,4,2026-03-12,2026-03-18
108,36987,5,2025-02-13,2025-02-17
109,23106,7,2025-11-15,2025-11-24
110,36167,10,2025-11-02,2025-11-07
111,47108,1,2025-08-10,2025-08-13
112,31992,2,2025-07-29,2025-08-05
113,30272,7,2026-05-31,2026-06-10
114,28377,6,2024-06-26,2024-07-01
115,46603,10,2025-07-29,2025-08-04
116,11439,9,2024-11-09,2024-11-14
117,20345,4,2024-02-27,2024-03-02
118,35511,3,2025-08-13,2025-08-17
