SupplierID,SupplierName,Country
1,Digital World 1,Jordan
2,Global Wholesale 2,Germany
3,International Goods 3,Jordan
4,Smart Products Ltd 4,UAE
5,Prime Suppliers 5,Germany
6,Smart Products Ltd 6,Jordan
7,Future Trading 7,UAE
8,Middle East Supplies 8,United Kingdom
9,Digital World 9,Germany
10,Middle East Supplies 10,United Kingdom
11,Smart Products Ltd 11,France
12,Middle East Supplies 12,Jordan
13,Prime Suppliers 13,UAE
14,Middle East Supplies 14,Qatar
15,International Goods 15,Jordan
16,Tech Distribution 16,Egypt
17,Smart Products Ltd 17,Jordan
18,Prime Suppliers 18,Egypt
19,Global Electronics 19,United Kingdom
20,International Goods 20,Kuwait
21,Middle East Supplies 21,Jordan
22,Future Trading 22,Egypt
23,Smart Products Ltd 23,France
24,Global Electronics 24,Kuwait
25,Smart Products Ltd 25,Jordan
26,Smart Products Ltd 26,Jordan
27,Tech Distribution 27,United Kingdom
28,Tech Source 28,Jordan
29,Tech Source 29,Kuwait
30,Digital World 30,Germany
31,Tech Distribution 31,UAE
32,Digital World 32,France
33,Tech Source 33,Egypt
34,Future Trading 34,France
35,Smart Products Ltd 35,France
36,Tech Distribution 36,United States
37,Tech Source 37,Qatar
38,Tech Distribution 38,France
39,Global Wholesale 39,United States
40,Global Wholesale 40,United Kingdom
41,Global Electronics 41,Germany
42,Future Trading 42,Qatar
43,Digital World 43,Kuwait
44,Future Trading 44,UAE
45,Tech Distribution 45,Qatar
46,Prime Suppliers 46,United Kingdom
47,Smart Products Ltd 47,France
48,International Goods 48,UAE
49,Global Wholesale 49,Kuwait
50,Global Electronics 50,Qatar
51,Smart Products Ltd 51,UAE
52,Prime Suppliers 52,Jordan
53,International Goods 53,Germany
54,Tech Source 54,United Kingdom
55,Digital World 55,United States
56,Smart Products Ltd 56,Kuwait
57,Middle East Supplies 57,United Kingdom
58,Tech Source 58,Jordan
59,International Goods 59,Egypt
60,Smart Products Ltd 60,United States
61,Prime Suppliers 61,United States
62,International Goods 62,France
63,Tech Source 63,Jordan
64,Smart Products Ltd 64,Saudi Arabia
65,Digital World 65,Egypt
66,Smart Products Ltd 66,UAE
67,Tech Distribution 67,United States
68,Tech Source 68,Qatar
69,International Goods 69,Germany
70,Digital World 70,Qatar
71,Tech Distribution 71,Egypt
72,Middle East Supplies 72,Qatar
73,Global Electronics 73,Germany
74,Global Wholesale 74,Germany
75,Tech Source 75,Germany
76,Global Electronics 76,Germany
77,Prime Suppliers 77,Jordan
78,Future Trading 78,France
79,Global Wholesale 79,France
80,Tech Distribution 80,Kuwait
81,International Goods 81,United States
82,Tech Source 82,Germany
83,Smart Products Ltd 83,UAE
84,Tech Source 84,United States
85,Digital World 85,United States
86,Tech Distribution 86,Egypt
87,Smart Products Ltd 87,United Kingdom
88,Digital World 88,UAE
89,Future Trading 89,UAE
90,Prime Suppliers 90,Germany
91,Middle East Supplies 91,UAE
92,Tech Distribution 92,Qatar
93,Digital World 93,United States
94,Global Wholesale 94,Jordan
95,Prime Suppliers 95,Kuwait
96,Smart Products Ltd 96,United States
97,Global Wholesale 97,Jordan
98,International Goods 98,United States
99,Future Trading 99,United States
100,Digital World 100,United States
